tags	description
1-year-experience-needed licence-needed	UCHealth South (Memorial Hospital) May 14th Nurse Job Fair! Join Us On May 14th 4:00 p.m. to 6:00 p.m.  UCHealth South (Comprised of Memorial Hospital Central and North) Administration Building South Entrance 2420 East Pikes Peak, Colorado Springs, CO 80909 *Open Free Parking*  If you are a Registered Nurse in Colorado (or a compact state) with 1+ year of acute hospital experience and an Associates Degree or higher we hope you’ll join us on May 14th to explore a career at UCHealth South.  Please be sure to arrive at the job fair with copies of your resume. Our team of hiring managers will be on site and prepared to extend job offers.  *Register to attend by clicking \"Apply Now\".*
full-time-job salary bs-degree-needed 2-4-years-experience-needed	This position is located in Reno (Reno/Tahoe area), NV.  Relocation Assistance is available.    SQL Experience highly desired.    To learn more and to apply please visit us online: www.example.com    The Financial Analyst will report directly to the FP&A Manager and must be knowledgeable of basic analysis of income statements, balance sheets and cash flow statements. The analyst must have experience in variance analysis; a) Actuals vs. Budget, b) Actuals vs. Prior Year, and Trend Analysis. The position requires working closely with department directors and campus presidents to consolidate and analyze operational results. Must assist the FP&A manager in budgets and long range planning. Additionally, the financial analyst is required to assist the campuses in results analysis.    DUTIES AND RESPONSIBILITIES  The Financial Analyst will also be responsible, but not limited to, the duties and tasks listed below: •Produce and manage12-month rolling forecast from all the campuses and some corporate groups   •Develop and manage various consolidation reports.   •Assist in variance analysis on a monthly basis to help campus presidents as well as corporate departments manage their business.   •Assist in Annual Budget preparation coordinating with campus presidents and department directors.   •Assist in development and consolidation of Financials for the Long Term planning process (3-year planning).   •This position will be responsible for the development and creation of reports in our Business Intelligence software (BIRST) for all departments across the business.   •Run reporting from our information database (in Campus-Vue) to consolidate all campus data reporting and create key business metrics.  TECHNICAL AND OTHER SKILLS REQUIRED •2 or more years of experience in financial analysis required.   •High level of customer service is required.   •Must be comfortable and efficient in dealing with all levels of management.   •Must have extensive knowledge is MS Excel. o Create and manipulate Pivot tables. o Must know different formula usages in excel (v-lookup, IF, Subtotals etc.). o Knowledge in creating macros & VB coding will be a plus.   •Must be proficient in MS Word, MS Outlook.   •Knowledge in database management is a plus.    JOB QUALIFICATIONS   •2 or more years of experience in financial reporting and analysis.   •Bachelors in Finance or Accounting required.   •Must be very knowledgeable in MS Excel.   •Experience with relational database highly desired.   •SQL experience highly desired.    COMPENSATION   •Full time salaried position.   •$48,000/yr. - $55,000/yr. plus 8% Bonus.   •Bonus is based on completion of special projects and tasks.   •Compensation dependent on experience and knowledge in related field.    Employee Benefits Summary:    We offer great benefits including Medical Insurance, Dental Insurance, Vision Insurance, 401K Profit Sharing Plan, Short Term and Long Term Disability benefits, Paid Time Off (15 days per year), 7 Paid Holidays per year, Tuition Reimbursements of up to $5,000 per year, and more...visit us online to learn more.    Special Note:  Immediately following the submission of your application you will be asked to take an assessment. This assessment helps us match your talents and attributes to our positions. Keep in mind if you choose to not participate in the assessment you will not be considered for the position. If you are applying for multiple positions, please be aware that you only need to complete the assessment once.    **Please save the below link so that you can refer back to the assessment link and instructions:  www.example.com     We are committed to diversity. Charter College and Prospect Education LLC are Equal Opportunity Employers.    To learn more and to apply please visit us online: www.example.com 
ms-or-phd-needed	Infinite Services Inc. is seeking a full time/Part time Speech Therapist (SLP) with Home Care Experience to provide treatment to Home Health Adult patients in the Queens area  *Responsibilities:*  The Speech Therapist / SLP will be responsible for the delivery of skilled Speech therapy services to the Adult patient in a home setting. Take advantage of this unique opportunity benefit from the support provided by our dedicated staff to master to your fullest potential of your SLP career!  * Full time, part time, salaried, or per-diem options * Opportunities to access clinical support and collaborate with other team members * Weekly pay with direct deposit option * Job openings available immediately on permanent or temporary basis * Special opportunities for Bilingual Mandarin speaking SLPs * Opportunities in Brooklyn, Bronx, Manhattan, and Queens.  *Requirements*  • Master's degree in Speech Language Pathology  • Valid NYS Speech Language Pathology license
salary bs-degree-needed 5-plus-years-experience-needed supervising-job	HR Manager / HR Director / Human Resource Manager. Pay: $100-$130k + bonus.    HR Manager/ Director of Human Resources needed for our Prospect Heights, IL location. Must be a local candidate, must have BA/BS in related field, and at least 7-10+ years of experience in an HR managerial role from a manufacturing or industrial company (union environment).     Human Resource Manager/ Director of HR will administer and oversee benefit administration, payroll, 401k, etc. Will interview, hire and train staff. Will participate in collective bargaining with our union, supervise the HR Generalist and support staff.     We prefer candidates from a small to mid-sized company. We also prefer local candidates only. Position is direct hire, and is an immediate need. If interested, please apply today. Our offsite recruiter will immediately arrange your interview with us if qualified. We offer excellent benefits and salary compensation ($100-130k + bonuses).
salary licence-needed	Seeking an Electrical Engineer or high level Electrical Tech .  Candidates must have:  * Experience programming & troubleshooting PLC's. * RS Logix 5000 * MUST have experience in building control boxes and temperature controls. * Instrumentation experience: pressure, temperature, humidity * Working knowledge of process control, relays, motors, VFDs, etc. * Low voltage wiring.  NJ licensed electrician preferred.  _$55,000 - $70,000/yr. ($25 - $35/hr), vacation pay, sick pay, holidays, medical, dental, and vision insurance_  _No recruiters please!_
2-4-years-experience-needed	Yankee Homes is seeking experienced sales professionals with a track record of individual success within a corporate framework. If you are an organized and outgoing self-starter who is attracted to the dynamic fast-paced world of a real estate start-up company, we'd like to hear from you. We're looking for great business partners and closers who are eager and willing to apply their craft in an emerging market for a progressive and innovative company. We are interested in career minded professionals who are looking to apply their skills to a new exciting industry.  We're looking for people who are self-motivated, energetic, and goal oriented, able to self-generate leads as well as follow up on leads provided by our Inside Sales team. Applicable experience may include mortgage banking, short-sale agents, Section 8 housing, multi-family leasing and commercial leasing.  Responsibilities:  Completes part-time property showings Negotiates and explains terms of the lease and supporting addenda, schedules lease signing appointments, describes the documentation to new resident through a thorough new resident orientation which includes a walk-through of the home with the new resident Delivers an accurate, fully completed resident lease file and appropriate move-in funds to property management Schedules property showing appointments with all opportunities in the pipeline and effectively manages opportunity stages within in the pipeline Qualifications:  Must have minimum 2 years experience in sales, real estate or property management leasing experience is preferred GA Real Estate license is required Strong consultative sales, negotiation and communication skills Be enthusiastic, diligent, outgoing and organized self-starter Be interested in working in the dynamic, fast-paced world of a real estate start-up company Strong written and verbal communication skills Be comfortable with a mobile office and communicating with a diverse range of people and personalities Be available to work weekends and evenings Familiarity with Google Drive, Trello, Google Apps Aptitude with computers, MS Office and the Internet; ability to conduct business via an iPad and a PDA Ability to work with mathematical concepts High School Diploma or GED equivalent  Please complete a application form here: www.example.com
full-time-job 1-year-experience-needed	This is a full time permanent job opportunity. It is remote opportunity, so candidate can work from nearby city. Candidate needs to be able to make a day trip to company location in Greenville, SC without a need for stay-over.  *Exposure to Enovia V6, MQL is required. *  US Green Card and US Citizenship holders only.   Skills required :  Minimum of 1+ Years of experience in iPhone or iPad Technical Development or Support, Technical Skill: TCL Scripting, Java    Job Description: Candidate will be primary doing technical support for Enovia V6 based application in iPad and iPhone.  ENOVIA V6 is an online PLM platform for IP management, a life-like experience, ready-to-use PLM business processes, and lower total cost of ownership (TCO).  Responsibilities include fixing the user problems in the PLM application developed using Enovia V6.
2-4-years-experience-needed	*OTR & REGIONAL DRIVERS NEEDED*  Immediate openings available.  Minimum of 2 years experience required.  Class A CDL License Required.  Competitive payscale. Benefits include 401K,Medical, Dental, and Vision insurance. AFLAC Supplemental insurance available.   Visit www.example.com to complete an application online.  Call  XXX , ext 232 and ask for Safety to get additional information.
full-time-job 2-4-years-experience-needed	***Must have HAZARDOUS WASTE or HAZARDOUS MATERIALS HANDLING EXPERIENCE***   ***Must hold Endorsements: TX***  We are a hazardous waste transportation company who has been in business over 32 years. We are seeking a qualified Class A drivers to transport hazardous waste.   The drivers will be responsible for loading and off-loading hazardous waste materials in 55-gallon drums, totes, 2-yard bins, etc.  You will also be transporting the waste to and from various locations. This is a full-time position.   Candidates Must Meet the Following Qualifications:  2 years Class A driving experience Must be able to drive: Tractor-trailer, vacuum truck, roll-off truck, THIS IS A HUGE PLUS!   Benefits After 90-day Probationary Period:  100% medical paid for employee  50% medical paid for spouse and dependents  401K  Vacation Time  Sick Time  Holidays   Please email your resume. You can also drop off your resume at 5601 State St., Montclair CA; ask for Robert Napoles. All calls should be directed to Robert Napoles at  XXX  Please DO NOT submit if you DO NOT have hazardous waste handling experience and your necessary endorsements. We are looking to hire a new drivers ASAP.  You must be motivated and ready to work long hours!
full-time-job salary	Well established Ronkonkoma Company seeking an experienced Collector to call on past due commercial accounts. No skip tracing, no dialer. Research order history, customer credit and collection issues. Good phone & computer skills.  Candidate Must be: Results Driven Extremely Detailed Oriented Work in a Fast Paced Environment Excellent Problem Solving Skills Accurate data analysis Dependability  Full Time Position, Monday through Friday Excellent Career Opportunity Salary commensurate with experience, Health, Dental, LTD,Life, Vision & 401K For immediate consideration, please forward resume
full-time-job salary	Can you present a product to store customers?  $1,000-$2,000 weekly income potential  Details: Fantastic opportunity for a motivated individual who can memorize a 3 page written script, demonstrating our best selling product, in “top of the line” retail establishments.  You would do this every week as a F/T employee Thursdays - Mondays (including weekends) in the Oklahoma City, OK area.  WE DO NOT REQUIRE ANY PREVIOUS EXPERIENCE, COMPLETE TRAINING IS PROVIDED OPPORTUNITY TO EARN A $1,000 MEMORIZATION BONUS EARN $$$$$$$ WHILE TRAINING FOR THE POSTION W-2 POSITION BENEFITS ELIGIBLE AFTER 90 DAYS  You MUST have the following: Valid driver’s license Proof of insurance Reliable vehicle Willingness to work weekends  Call Nikki example@example.com ext 428-Please reference geographical location when calling 
full-time-job	*Title:* Sr. Network Administrator/Architect *Location:* Two openings (Alexandria, VA & New York, NY) *Pay Rate:* Negotiable. Client wants to know current compensation and desired comp (hourly rate, or base plus bonus if applicable). *Type:* 12 to 16 months; can be extended (possible contract to hire).   *Summary:*  We are looking for a fulltime onsite Sr. Network Administrator/Architect; we have two openings, one opening for our office in the Washington DC area and one in New York, NY. We are looking for a candidate that is well versed in Cisco networking support. You will be responsible for leading the day to day maintenance, vendor escalations, and Remedy based incident trouble tracking for the Networking environment. You will also be responsible for deployment and administration of the Cisco IOS (12.2) for 6500 routers, 3750 switches, ASA Firewall, Supervisor redundancy modules, Cisco wireless access points/contollers, Cisco call manager and Cisco VoIP gateways.  The client company is a leading source of legal, regulatory, and business information for professionals. Its network of more than 2,500 reporters, correspondents, and leading practitioners delivers expert analysis, news, practice tools, and guidance — the information that matters most to professionals. The client company has been named three times to the FORTUNE list of \"100 Best Companies to Work For in America.\"  *Requirements:* • *The candidate must be well versed in the following network related security technologies: 802.1x, firewalls (Palo Alto Networks), and Network Access Control (NAC).* • The candidate for this role needs to be familiar with routing protocols EIGRP, OSPF, RIP2, BGP; Gateway (GLBP/VRRP), VLANs, Spanning tree, LACP Etherchannel, Wireless access points, VoIP, SSH and TACACS administration.  • IOS configuration procedures and operational problem resolution best practices.   • Experience leading the day to day maintenance, vendor escalations, and Remedy based incident trouble tracking for the Networking environment.   • Experience with deployment and administration of the Cisco IOS (12.2) for 6500 routers, 3750 switches, ASA Firewall, Supervisor redundancy modules, Cisco wireless access points/contollers, Cisco call manager and Cisco VoIP gateways.    • Must have hands-on experience with Cisco IOS configuration, router/switch, Cisco Call Manager, SIP Trunking, Unified communications and Wireless experience.   • Must have excellent written and oral communication skills.    *Preferred/Desired (this will not exclude a candidate from consideration):* • Scripting experience and CCIE or CCNP desirable.
hourly-wage	Manufacturing company in the Mon Valley area is seeking an experienced Electrician.  *MINIMUM REQUIREMENTS* are as follows:   Must be able to read electrical drawings, terminate electronics and thread/bend conduit.  Panel building skills a plus!  GREAT benefits, including health and life insurance, 401K, paid vacations and holidays. Salary ranging from $18-23.00/Hr, based on experience.  *INQUIRES LOCATED OUTSIDE THE WESTERN PA AREA WILL NOT BE CONSIDERED*
full-time-job	Join the exciting EVENT INDUSTRY; Encore Event Rentals is the local leader!  We work with thousands of clients in the Shreveport Bossier area from homeowners to businesses and municipals. We are looking for a highly energetic, fast paced personality who wants to grow their career. As one of our Delivery Drivers your focus will be on customer service and efficiency.    Job Description:  • Delivery Drivers will be responsible for correctly loading their truck with the required equipment and tools necessary for the event installation and pick-up.  • Review contract with client upon arrival and obtain instructions for unloading and equipment placement and inform them of their responsibilities for equipment handling and care.  • Daily check of delivery vehicle to detect any maintenance issues.  • Superior communication with dispatch to keep delivery schedules on time.  • Set-up and installation of equipment when required.    Job Requirements:  • Professional conduct, appearance and attitude are a must at all times.  • Full availability throughout the week including nights and weekends. (This is a must) • Must be comfortable lifting 40+ pounds consistently throughout the day  • Ability to handle stressful situations with professionalism.  • A valid driver's license with a superb driving record and comfortable driving multiple vehicles including large box trucks.   Drug test and background check is mandatory before hiring.   This is a Full Time -- Year Round Position!!!  LOCAL QUALIFIED APPLICANTS ONLY  No phone calls please. Due to the number of responses, we respond only to candidates we wish to invite to an interview. Encore Event Rentals is an Equal Employment Opportunity employer.
associate-needed	Full Charge Accounting and Merchandise Management for a High Volume Durable Goods Retailer.   Must have hands-on retail experience and a degree in accounting.               
2-4-years-experience-needed licence-needed	Registered Nurse- Medical Surgical   Healthcare Resource Network is seeking a *Medical Surgical Registered Nurse* for *Wright Patterson AFB in Dayton, OH*. This position is for the hospital on Wright Patterson AFB.   Must have at least 2 years of recent hospital experience.   *CLINICAL NURSE - MED/SURG- GENERAL WARD NURSE* *1 QUALIFICATIONS.* 1.1 Knowledge of professional care theories, principles, practices, disease process, and procedures to perform nursing assignments of moderate difficulty and experience to acutely ill pediatric, adult and geriatric patients as appropriate.  1.2 Demonstrates knowledge of growth and development, and pathophysiology of disease processes, specific to the unit population to include all ages of the spectrum from pediatrics to geriatrics.  1.3 Knowledge of a variety of pharmacological agents used in patient treatment, the desired effects, side effects, and complications of their use as well as the accurate administration of the pharmacologic agent, including dosage calculations as required. Knowledge of the administrative requirements for proper documentation of patient’s condition including nursing assessment/reassessment, planning, interventions, evaluation, outcomes, patient/family teaching, and follow up care.  1.4 Assesses, coordinates, facilitates, delivers and evaluates care for infant to geriatric patients using the nursing process.  1.5 Synthesizes information and makes appropriate clinical decisions using a wide variety of data sources, specifically patient response, physician and nurse progress notes, interdisciplinary consultations, results of tests/procedures, and applicable guidelines and standards.  1.6 Knowledge of computer operations and proficiency in the use of basic word processing, data entry and automated medical records.  *2 TYPE OF WORK.* The duties include but are not limited to the following:  2.1 Coordinates patient care through a continuum and facilitates the achievement of optimal outcomes in relation to care, quality and cost effectiveness  2.2 Participates in the orientation and training of newly assigned personnel, as appropriate.  2.3 Ensures compliance with standards of care and practice in accordance with all established policies, procedures, and guidelines used in the medical treatment facility. Provides care within ethical and legal boundaries.  2.4 Assesses patients. Uses the nursing process as a basis for professional practice. Demonstrates proper preparation of patients for treatments and procedures, to include surgical interventions. Provides proper care and evaluation of post-procedural patients.  2.5 Effectively communicates plans/actions and collaborates with a diverse healthcare team for the benefit of the patient, family and organization. Effectively educates patients and families regarding involvement in the plan of care, promotion of self care, management of symptoms, and follow-up care.  2.6 Possesses excellent written communication skills to perform accurate documentation, both written and electronic, of all activity in accordance with requirements.  2.7 Skilled in setting up, operating, and monitoring specialized medical equipment such as IV infusion pumps, cardiac monitoring devices, EKG units, oxygen analyzers, nebulizers and other unit specific equipment.  2.8 Recognizes adverse signs and symptoms and reacts quickly and appropriately in emergency situations.  2.9 Maintains accountability for making patient care assignments based on the scope of practice and skill level of assigned personnel.  2.10 Possesses a good foundation in organization and prioritization . 2.11 Serves and participates in committees, functions and other meetings as directed. Provides relevant and timely information to these groups, and assists with decision-making and process improvement. Participates in customer service initiatives and medical readiness activities, designed to enhance health services.  2.12 Ensures a safe work environment, employee safe work habits and patient safety in accordance with regulatory agencies, infection control policies, and process improvement initiatives.  *TO APPLY*  All interested candidates are encouraged to Apply via Indeed.  A Healthcare Resource Network recruiter will promptly review.  If your CV/Resume meets the position requirements, candidates will be contacted.
